# Spectral analysis of one-step Syracuse Markov transition operator
# on (Z/3^n Z)^x.  Eigenvalues by |.|, descending.


## s=0 UNTILTED
  n    |U_n|        |lam_2|     |lam_perp|   TV(pi,U)    E_n(pi)                         pi mod 3
  1        2     0.0000e+00            n/a     0.1667     0.1111           (0.0000,0.3333,0.6667)
  2        6     6.5336e-09     1.1994e-16     0.2778     0.4286           (0.0000,0.3333,0.6667)
  3       18     9.7970e-07     1.0045e-08     0.3460     0.7363           (0.0000,0.3333,0.6667)
  4       54     5.2768e-05     6.2362e-06     0.3705     1.0458           (0.0000,0.3333,0.6667)
  5      162     2.5283e-04     8.4357e-05     0.3889     1.3561           (0.0000,0.3333,0.6667)
  6      486     1.0801e-03     6.0982e-04     0.3986     1.6669           (0.0000,0.3333,0.6667)
  7     1458     3.0191e-03     1.8408e-03     0.4069     1.9772           (0.0000,0.3333,0.6667)
  8     4374     5.0048e-03            n/a     0.4150     2.2878           (0.0000,0.3333,0.6667)

## s=+0.438 DESCENT-BALANCE
  n    |U_n|        |lam_2|     |lam_perp|   TV(pi,U)    E_n(pi)                         pi mod 3
  2        6     1.8050e-09     1.1965e-16     0.3703     0.8536           (0.0000,0.2696,0.7304)
  3       18     5.0256e-09     1.5239e-08     0.4789     1.7719           (0.0000,0.2696,0.7304)
  4       54     3.6105e-05     7.4187e-06     0.5446     3.0903           (0.0000,0.2696,0.7304)
  5      162     2.2615e-04     9.7537e-05     0.5803     4.9720           (0.0000,0.2696,0.7304)
  6      486     1.1203e-03     6.4123e-04     0.5976     7.6429           (0.0000,0.2696,0.7304)

## s=-0.5 EQUIDISTRIBUTING
  n    |U_n|        |lam_2|     |lam_perp|   TV(pi,U)    E_n(pi)                         pi mod 3
  2        6     1.1730e-09     7.7820e-17     0.1348     0.1095           (0.0000,0.4142,0.5858)
  3       18     8.9613e-07     9.8977e-09     0.1539     0.1331           (0.0000,0.4142,0.5858)
  4       54     2.9616e-05     4.3825e-06     0.1592     0.1423           (0.0000,0.4142,0.5858)
  5      162     1.9685e-04     6.3157e-05     0.1598     0.1460           (0.0000,0.4142,0.5858)
  6      486     9.0076e-04     3.9539e-04     0.1600     0.1477           (0.0000,0.4142,0.5858)
