n,s,CP_n,E_n
2,0.43803265928220214,3.089343129593e-01,8.536058777559e-01
3,0.43803265928220214,1.539921968249e-01,1.771859542848e+00
4,0.43803265928220214,7.574608522407e-02,3.090288602100e+00
5,0.43803265928220214,3.686424431846e-02,4.972007579591e+00
6,0.43803265928220214,1.778387479041e-02,7.642963148142e+00
7,0.43803265928220214,8.517570230557e-03,1.141861739615e+01
8,0.43803265928220214,4.055559371127e-03,1.673901668931e+01
9,0.43803265928220214,1.921626214299e-03,2.421557918403e+01
10,0.43803265928220214,9.068053137856e-04,3.469729798248e+01
11,0.43803265928220214,4.264525677393e-04,4.936319534487e+01
12,0.43803265928220214,1.999728166026e-04,6.984916908540e+01
13,0.43803265928220214,9.354178376039e-05,9.842387820682e+01
14,0.43803265928220214,4.366512503872e-05,1.382326262942e+02
