n,s,CP_n,E_n
2,0.12829679552258053,2.567889302829e-01,5.407335816972e-01
3,0.18513438553177508,1.177187989740e-01,1.118938381531e+00
4,0.21901632964110107,5.379074544529e-02,1.904700254046e+00
5,0.24213849877820054,2.448130566631e-02,2.965971517942e+00
6,0.2592065749629033,1.109939766869e-02,4.394307266983e+00
7,0.2724718760557742,5.016040726793e-03,6.313387379665e+00
8,0.28316472740239135,2.261299422278e-03,8.890923673042e+00
9,0.29202177285480146,1.017490871778e-03,1.235151521948e+01
10,0.2995145699949766,4.571532650656e-04,1.699629543257e+01
11,0.30596084321305195,2.051686780777e-04,2.323001054362e+01
12,0.3115835224069886,9.200395761376e-05,3.159645015881e+01
13,0.31654425825375393,4.123357977257e-05,4.282642973583e+01
14,0.32096350676423896,1.847271455697e-05,5.790294738124e+01
