n,s,CP_n,E_n
2,-0.3,2.022006394159e-01,2.132038364953e-01
3,-0.3,7.227024063670e-02,3.008643314607e-01
4,-0.3,2.512888298124e-02,3.569596809868e-01
5,-0.3,8.602488678090e-03,3.936031658507e-01
6,-0.3,2.918684194294e-03,4.184805184267e-01
7,-0.3,9.844404122209e-04,4.353141210181e-01
8,-0.3,3.308154295372e-04,4.469866887956e-01
9,-0.3,1.108944503782e-04,4.551569778629e-01
10,-0.3,3.711102533554e-05,4.609126233587e-01
11,-0.3,1.240482839257e-05,4.649854235054e-01
12,-0.3,4.143096819160e-06,4.678743444475e-01
13,-0.3,1.382962792039e-06,4.699262583276e-01
14,-0.3,4.614453115734e-07,4.713857469672e-01
