n,s,CP_n,E_n
2,0.0,2.380952380952e-01,4.285714285714e-01
3,0.0,9.646043789622e-02,7.362878821319e-01
4,0.0,3.788452137798e-02,1.045764154411e+00
5,0.0,1.454387305090e-02,1.356107434245e+00
6,0.0,5.487421004622e-03,1.666886608246e+00
7,0.0,2.041985067309e-03,1.977214228137e+00
8,0.0,7.516754248598e-04,2.287828308337e+00
9,0.0,2.742672158164e-04,2.598934405943e+00
10,0.0,9.933765222947e-05,2.910526017665e+00
11,0.0,3.575537638333e-05,3.222638440118e+00
12,0.0,1.280085473376e-05,3.535266027043e+00
13,0.0,4.561506015122e-06,3.848342636365e+00
14,0.0,1.618820504302e-06,4.161845525761e+00
